"","x"
"1111",675.057188754009
"1112",703.480867575895
"1113",750.537503684747
"1114",815.31432174574
"1115",826.659888005009
"1116",811.860526758934
"1117",775.081621282278
"1118",778.886718721364
"1119",767.642466028075
"1120",771.076376521902
"1121",770.272363900608
"1122",748.424212955784
"1123",774.734326296627
"1124",791.128856510842
"1125",789.535065518654
"1126",783.53807909162
"1127",763.193657885449
"1128",748.565821842516
"1129",732.73301353103
"1130",725.298651850331
"1131",725.821177457209
"1132",724.602697477187
"1133",712.77843437492
"1134",699.305102919325
"1135",670.555854915306
"1136",678.428794330148
"1137",706.992022510385
"1138",671.038973855968
"1139",672.823433626544
"1140",656.789725232192
"1141",646.733406208146
"1142",650.043221690988
"1143",644.704687671998
"1144",646.634422092996
"1145",644.402336287248
"1146",636.146412037802
"1147",632.291504378163
"1148",627.4287800658
"1149",628.884658015392
"1150",626.607106947161
"1151",634.509583068212
"1152",629.671647163134
"1153",626.414697641999
"1154",639.640915375538
"1155",645.282370116066
"1156",634.592132292684
"1157",635.287411306983
"1158",623.94004659163
"1159",641.930209565263
"1160",647.339151978858
"1161",618.108365268459
"1162",634.397871471207
"1163",626.242644486889
"1164",624.250394335362
"1165",620.744267514522
"1166",617.581996889531
"1167",615.642684611315
"1168",610.518206111443
"1169",613.392694821741
"1170",602.597397124939
"1171",620.224454184352
"1172",620.078531671728
"1173",615.746920319075
"1174",617.706384496767
"1175",618.351566310604
"1176",625.968098286868
"1177",622.348871842482
"1178",611.72800788472
"1179",601.944857882862
"1180",619.050875124185
"1181",628.996167458182
"1182",660.576499985129
"1183",713.87311565442
"1184",736.145708423134
"1185",736.828977535406
"1186",745.15483245263
"1187",713.944930624573
"1188",711.567862320728
"1189",686.772982994483
"1190",696.883873828212
"1191",709.97385881908
"1192",720.326298956398
"1193",727.707276632665
"1194",731.029544956116
"1195",738.351204554929
"1196",737.519170274899
"1197",748.308615119974
"1198",742.37499332289
"1199",737.631539800609
"1200",744.738030073321
"1201",751.1569797411
"1202",755.478065457588
"1203",758.586440095151
"1204",752.896152729213
"1205",753.097542833205
"1206",745.401199055103
"1207",752.385782070761
"1208",748.445949619696
"1209",753.36183896003
"1210",746.955874763787
"1211",747.88348619042
"1212",751.413760686815
"1213",748.999201212033
"1214",754.884403859078
"1215",756.310015832917
"1216",761.748642290276
"1217",759.985091182435
"1218",754.913101916884
"1219",762.861850836663
"1220",770.771341543706
"1221",777.422086993255
"1222",791.926221443712
"1223",788.852336533847
"1224",777.860123654315
"1225",778.249289378689
"1226",779.380133184445
"1227",773.284800114777
"1228",757.631386002368
"1229",777.104770445593
"1230",769.20177365113
"1231",755.291175492134
"1232",749.264945391156
"1233",756.115510376694
"1234",759.089953611018
"1235",775.935377188139
"1236",762.534224229486
"1237",742.416397087434
"1238",763.630658510216
"1239",775.674868736952
"1240",776.533455987526
"1241",754.416319264943
"1242",761.483665931043
"1243",736.719277028466
"1244",750.720280035296
"1245",749.72599588747
"1246",733.708087763181
"1247",747.189670646843
"1248",734.528655127093
"1249",733.193011711514
"1250",737.593091771659
"1251",724.3627996593
"1252",736.378511826399
"1253",745.984063091174
"1254",741.186351172562
"1255",737.049071181685
"1256",741.434557754773
"1257",749.674924014038
"1258",728.999816786709
"1259",737.545982028467
"1260",745.673588631526
"1261",740.405812684747
"1262",736.520611201519
"1263",733.938092647645
"1264",729.530548393635
"1265",751.140530982596
"1266",713.229707916329
"1267",747.540130383443
"1268",725.388852164523
"1269",740.136323407484
"1270",741.627263748705
"1271",744.323503491773
"1272",754.496975179904
"1273",743.311698374332
"1274",730.371953843722
"1275",739.0433889517
"1276",749.908013455131
"1277",753.958387507472
"1278",766.863535387285
"1279",769.027518812641
"1280",774.169003346163
"1281",791.228071104655
"1282",773.521605726775
"1283",734.711646867505
"1284",755.682724987109
"1285",762.535562739533
"1286",755.553207418293
"1287",753.371788707396
"1288",753.616306774571
"1289",760.172268166376
"1290",761.248180936569
"1291",764.593838094354
"1292",767.016991070011
"1293",758.852404235037
"1294",776.233109944723
"1295",763.862935383677
"1296",753.095392705348
"1297",760.661662850689
"1298",761.217029519577
"1299",763.153170893615
"1300",760.672048522399
"1301",777.473459198618
"1302",782.232719476152
"1303",781.06395301521
"1304",780.777942399134
"1305",788.851591280841
"1306",785.666824306915
"1307",781.648668296383
"1308",777.073982028554
"1309",779.019298785444
"1310",787.787414486535
"1311",783.43280414833
"1312",776.589260096763
"1313",783.220100323331
"1314",789.278220856726
"1315",780.269782459941
"1316",767.781796120654
"1317",802.323153785727
"1318",795.638989273909
"1319",796.717673883903
"1320",803.860857661696
"1321",806.045635807552
"1322",797.962995621707
"1323",795.698448730379
"1324",799.66066178438
"1325",801.061897222833
"1326",788.062011466513
"1327",780.591088670361
"1328",781.526841726324
"1329",777.021431376534
"1330",771.562085753503
"1331",761.502820432983
"1332",760.1628565198
"1333",758.827021378569
"1334",752.481215937794
"1335",748.314487046956
"1336",773.072602515541
"1337",761.816174041531
"1338",745.736850960073
"1339",762.884687695864
"1340",747.731387750688
"1341",752.420481533597
"1342",745.826810835101
"1343",731.897271835598
"1344",744.493379638068
"1345",730.303556991922
"1346",731.697344754766
"1347",730.871447095469
"1348",728.496045112582
"1349",731.069118506196
"1350",735.078785276564
"1351",697.95107201902
"1352",755.83202861048
"1353",757.420816577494
"1354",739.87476018379
"1355",735.648122307009
"1356",728.75209325873
"1357",739.578246335062
"1358",759.904674710398
"1359",740.009466701768
"1360",730.704379352846
